"filename", "language", "Markdown", "TypeScript", "C++", "Stylus", "Python", "JSON", "JavaScript", "Batch", "JSON with Comments", "YAML", "C", "Rust", "comment", "blank", "total"
"d:\Users\normalpcer\Documents\sync_code\ABC269c_Submask.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 32
"d:\Users\normalpcer\Documents\sync_code\ABC269d_Do_use_hexagon_grid.cpp", "C++", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 69
"d:\Users\normalpcer\Documents\sync_code\ABC269e_Last_Rook.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 58
"d:\Users\normalpcer\Documents\sync_code\ABC269f_Numbered_Checker.cpp", "C++", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 68
"d:\Users\normalpcer\Documents\sync_code\ABC270c_Simple_path.cpp", "C++", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 59
"d:\Users\normalpcer\Documents\sync_code\ABC270e_Apple_Baskets_on_Circle.cpp", "C++", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 82
"d:\Users\normalpcer\Documents\sync_code\ABC270f_Transportation.cpp", "C++", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 89
"d:\Users\normalpcer\Documents\sync_code\ABC270g_Sequence_in_mod_P.cpp", "C++", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 11, 113
"d:\Users\normalpcer\Documents\sync_code\ABC271f_XOR_on_Grid_Path.cpp", "C++", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 86
"d:\Users\normalpcer\Documents\sync_code\ABC273F_Hammer_2.cpp", "C++", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 81
"d:\Users\normalpcer\Documents\sync_code\ABC273F_Hammer_2_solution.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 144
"d:\Users\normalpcer\Documents\sync_code\ABC275c_Counting_Squares.cpp", "C++", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 65
"d:\Users\normalpcer\Documents\sync_code\ABC275c_Counting_Squares_(Optimize).cpp", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 56
"d:\Users\normalpcer\Documents\sync_code\ABC275e_Sugoroku_4.cpp", "C++", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 58
"d:\Users\normalpcer\Documents\sync_code\ABC275f_Erase_Subarrays.cpp", "C++", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 56
